Type, OuterLoop, Seconds, Microseconds, FilterLength 
Serial, Data, 0, 114953, 1
Serial, Filter, 0, 111786, 1
Serial, Data, 0, 97557, 1
Serial, Filter, 0, 94027, 1
Serial, Data, 0, 97519, 1
Serial, Filter, 0, 94045, 1
Serial, Data, 0, 97547, 1
Serial, Filter, 0, 94032, 1
Serial, Data, 0, 97554, 1
Serial, Filter, 0, 94017, 1
Serial, Data, 0, 97556, 1
Serial, Filter, 0, 94016, 1
Serial, Data, 0, 97549, 1
Serial, Filter, 0, 94025, 1
Serial, Data, 0, 97594, 1
Serial, Filter, 0, 93999, 1
Serial, Data, 0, 97543, 1
Serial, Filter, 0, 94009, 1
Serial, Data, 0, 97584, 1
Serial, Filter, 0, 94091, 1
Serial, Data, 0, 97576, 1
Serial, Filter, 0, 94031, 1
Serial, Data, 0, 97579, 1
Serial, Filter, 0, 94071, 1
Serial, Data, 0, 97626, 1
Serial, Filter, 0, 94071, 1
Serial, Data, 0, 97782, 1
Serial, Filter, 0, 94213, 1
Serial, Data, 0, 97851, 1
Serial, Filter, 0, 94239, 1
Serial, Data, 0, 97805, 1
Serial, Filter, 0, 94196, 1
Serial, Data, 0, 97844, 1
Serial, Filter, 0, 94250, 1
Serial, Data, 0, 97725, 1
Serial, Filter, 0, 94185, 1
Serial, Data, 0, 97819, 1
Serial, Filter, 0, 94189, 1
Serial, Data, 0, 97853, 1
Serial, Filter, 0, 94228, 1
Serial, Data, 0, 163897, 2
Serial, Filter, 0, 188472, 2
Serial, Data, 0, 163828, 2
Serial, Filter, 0, 188476, 2
Serial, Data, 0, 163800, 2
Serial, Filter, 0, 188385, 2
Serial, Data, 0, 163792, 2
Serial, Filter, 0, 188428, 2
Serial, Data, 0, 163807, 2
Serial, Filter, 0, 188534, 2
Serial, Data, 0, 163874, 2
Serial, Filter, 0, 188510, 2
Serial, Data, 0, 163762, 2
Serial, Filter, 0, 188463, 2
Serial, Data, 0, 163763, 2
Serial, Filter, 0, 188474, 2
Serial, Data, 0, 163771, 2
Serial, Filter, 0, 188475, 2
Serial, Data, 0, 163829, 2
Serial, Filter, 0, 188481, 2
Serial, Data, 0, 163840, 2
Serial, Filter, 0, 188474, 2
Serial, Data, 0, 163856, 2
Serial, Filter, 0, 188451, 2
Serial, Data, 0, 163799, 2
Serial, Filter, 0, 188466, 2
Serial, Data, 0, 163771, 2
Serial, Filter, 0, 188547, 2
Serial, Data, 0, 163913, 2
Serial, Filter, 0, 188450, 2
Serial, Data, 0, 163905, 2
Serial, Filter, 0, 188489, 2
Serial, Data, 0, 163797, 2
Serial, Filter, 0, 188502, 2
Serial, Data, 0, 163901, 2
Serial, Filter, 0, 188501, 2
Serial, Data, 0, 163874, 2
Serial, Filter, 0, 188536, 2
Serial, Data, 0, 163764, 2
Serial, Filter, 0, 188447, 2
Serial, Data, 0, 309896, 4
Serial, Filter, 0, 377054, 4
Serial, Data, 0, 309968, 4
